timestep,episode_reward
0,0.1111111111111111
512,-94.77777777777715
1024,-74.55555555555489
1536,-34.111111111110894
2048,-84.66666666666612
2560,-54.33333333333244
3072,-64.44444444444356
3584,-84.66666666666583
4096,-54.33333333333241
4608,-104.88888888888772
5120,-54.33333333333323
5632,-84.6666666666657
6144,-84.66666666666616
6656,-74.55555555555468
7168,-54.3333333333329
7680,-13.888888888889042
8192,-64.44444444444338
8704,-64.44444444444414
9216,-114.9999999999988
9728,-94.7777777777766
10240,-54.33333333333266
10752,-74.55555555555445
11264,-94.77777777777695
11776,-84.66666666666575
12288,-104.88888888888803
12800,-94.77777777777685
13312,-84.66666666666549
13824,-84.66666666666578
14336,-125.11111111111015
14848,-104.88888888888778
15360,-114.9999999999988
15872,-114.99999999999909
16384,-94.7777777777769
16896,-54.33333333333279
17408,-135.2222222222211
17920,-114.99999999999886
18432,-64.44444444444363
18944,-84.6666666666659
19456,-44.22222222222108
19968,-64.44444444444369
